what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1582660176993
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1582660176997
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1582660176999
started,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1582660177001
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1582660177002
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1582660177003
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1582660177006
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1582660177009
os,sysinfo,,,"win32",1582660177015
arch,sysinfo,,,"x86",1582660177015
ws,sysinfo,,,"win32",1582660177015
locale,sysinfo,,,"de_DE",1582660177015
processors,sysinfo,,,"4",1582660177015
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1582660177015
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1582660177015
java.specification.name,sysinfo,,,"Java Platform API Specification",1582660177015
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1582660177015
java.specification.version,sysinfo,,,"1.6",1582660177015
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1582660177015
java.version,sysinfo,,,"1.6.0_20",1582660177015
java.vm.info,sysinfo,,,"mixed mode",1582660177015
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1582660177015
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1582660177015
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1582660177015
java.vm.specification.version,sysinfo,,,"1.0",1582660177015
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1582660177015
java.vm.version,sysinfo,,,"16.3-b01",1582660177015
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1582660177249
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1582660177283
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1582660177328
started,bundle,org.eclipse.equinox.p2.repository,2.0.0.v20100519,"org.eclipse.equinox.p2.repository",1582660177358
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1582660177400
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1582660177438
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.100.v20100503a,"org.eclipse.equinox.p2.updatechecker",1582660177784
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1582660178053
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1582660178644
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1582660178685
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582660179196
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1582660179257
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1582660179384
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1582660179447
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1582660179920
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1582660179938
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1582660180383
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1582660180410
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1582660180931
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1582660181078
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1582660181099
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582660185858
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582660190852
